,0
host_number_of_years,5.516885050625373
host_verifications,5.510869565217392
host_response_rate,95.17753623188406
host_acceptance_rate,86.93297101449275
latitude,42.33644475735633
longitude,-71.08061716886608
accommodates,3.3260869565217392
amenities,29.8756038647343
minimum_nights,21.680555555555557
beds,1.7801932367149758
availability_30,0.2673309178743961
availability_60,0.3496678743961352
availability_90,0.40575013419216316
availability_365,0.46811263318112634
number_of_reviews,59.27838164251208
review_scores_rating,4.663532608695652
review_scores_accuracy,4.73631038647343
review_scores_cleanliness,4.726038647342995
review_scores_checkin,4.833079710144927
review_scores_communication,4.799704106280193
review_scores_location,4.7554528985507245
review_scores_value,4.602282608695652
closeness_to_subway,1.299991106264548
closeness_to_landmark,2.2459351600257547
price,167.29951690821255
