,host_verifications,host_response_rate,host_acceptance_rate,host_is_superhost,latitude,longitude,accommodates,amenities,minimum_nights,beds,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,host_number_of_years,host_response_time_a few days or more,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,closeness_to_landmark,closeness_to_subway
1530,6,100,86,0,42.35409,-71.06268,3,23,3,2.0,0.06666666666666667,0.16666666666666666,0.28888888888888886,0.27123287671232876,6,4.33,4.0,4.17,4.83,4.67,4.67,4.17,1,133,2.9643835616438357,0,0,0,1,1,0,0,0,0.4145461784719204,0.22667097379718817
1531,6,100,86,0,42.35448,-71.06333,2,26,3,1.0,0.3333333333333333,0.6666666666666666,0.7444444444444445,0.4246575342465753,7,4.14,4.29,4.57,4.86,4.86,4.57,4.14,0,100,2.9643835616438357,0,0,0,1,1,0,0,0,0.37819462235792445,0.23542369642203761
1533,2,100,100,0,42.35728,-71.15697,1,21,91,1.0,0.0,0.0,0.0,0.5287671232876713,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,50,3.5178082191780824,0,0,1,0,0,0,1,0,4.158719817549072,4.139004370861837
1538,7,100,100,0,42.34449,-71.08385,5,18,91,2.0,0.0,0.0,0.0,0.0,10,4.6,4.5,4.8,4.7,4.6,4.9,4.3,1,250,4.098630136986301,0,0,0,1,1,0,0,0,0.5687220471287229,0.6980482770417838
1543,2,92,100,0,42.36417,-71.13637,2,21,1,1.0,1.0,1.0,1.0,0.9671232876712329,21,4.81,4.86,4.81,4.86,4.9,4.9,4.62,1,222,2.175342465753425,0,0,0,1,0,1,0,0,2.560071542072492,2.452552624198607
1544,2,92,100,0,42.36417,-71.13637,4,21,1,2.0,1.0,1.0,1.0,0.9616438356164384,5,4.4,4.2,4.2,4.0,4.0,4.2,3.6,1,232,2.175342465753425,0,0,0,1,0,1,0,0,2.560071542072492,2.452552624198607
1548,2,92,100,0,42.36417,-71.13637,2,21,1,1.0,0.9666666666666667,0.9833333333333333,0.9888888888888889,0.9643835616438357,2,5.0,5.0,5.0,4.5,4.5,5.0,5.0,1,272,2.175342465753425,0,0,0,1,0,1,0,0,2.560071542072492,2.452552624198607
1549,2,99,100,0,42.35104,-71.0697,2,32,1,1.0,0.6666666666666666,0.8,0.8666666666666667,0.8849315068493151,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,344,2.3972602739726026,0,0,0,1,0,1,0,0,0.6034754768187215,0.5704455259152076
1551,2,99,100,0,42.3507,-71.07212,2,27,1,2.0,0.7,0.6166666666666667,0.5444444444444444,0.8027397260273973,69,4.49,4.77,4.68,4.84,4.65,4.9,4.42,1,254,2.3972602739726026,0,0,0,1,0,1,0,0,0.5087067095418728,0.6374471954730057
1552,2,99,100,0,42.35104,-71.0697,2,30,1,1.0,0.8666666666666667,0.9333333333333333,0.9555555555555556,0.9013698630136986,139,4.68,4.73,4.71,4.84,4.73,4.9,4.6,1,243,2.3972602739726026,0,0,0,1,0,1,0,0,0.6034754768187215,0.5704455259152076
