date,adjusted_price,result,holiday_name,diff
2021-09-06,193.40368178829718,True,Labor Day,21.504635421970306
2021-10-11,238.29421433267586,True,Columbus Day,66.39516796634899
2021-11-11,198.1604207758054,True,Veterans Day,26.26137440947852
2021-11-25,199.01939513477976,True,Thanksgiving,27.120348768452885
2021-12-24,202.76528599605524,True,Christmas Day (Observed),30.86623962972837
2021-12-25,205.51249178172256,True,Christmas Day,33.61344541539569
2021-12-31,212.21860618014463,True,New Year's Day (Observed),40.31955981381776
2022-01-01,212.53583168967785,True,New Year's Day,40.63678532335098
2022-01-17,182.31120604666447,True,Martin Luther King Jr. Day,10.412159680337595
2022-02-21,184.5488005257969,True,Washington's Birthday,12.649754159470035
2022-03-17,206.72198488333882,True,Evacuation Day,34.82293851701195
2022-04-18,227.15445284258956,True,Patriots' Day,55.25540647626269
2022-05-30,204.17186986526454,True,Memorial Day,32.27282349893767
2022-06-19,208.499507065396,True,Juneteenth National Independence Day,36.60046069906912
2022-07-04,241.91910555738244,True,Independence Day,70.02005919105557
