,host_verifications,host_response_rate,host_acceptance_rate,host_is_superhost,latitude,longitude,accommodates,amenities,minimum_nights,beds,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,host_number_of_years,host_response_time_a few days or more,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,closeness_to_landmark,closeness_to_subway
1,-0.7329807730415588,0.336388019924556,0.3245597670753031,1,-0.28897936289401505,-0.4947732941568819,-0.574171959203823,0.013440903442854112,-0.48035196930563606,-0.547072327863342,0.4168219891299776,0.1566665224943712,0.3262926169992917,-1.0285281031228237,0.5513778735256801,0.24297340039555382,0.3113542603465136,0.4028695243616231,0.3124112364668595,0.2121997260530987,-0.6634844993993931,0.40710854799660084,0,-0.1846755149191606,2.404776310220779,0,0,0,1,1,0,0,0,-0.32227897414079465,-0.5133307708507696
2,-0.7329807730415588,0.336388019924556,0.3245597670753031,1,-0.3041417628284728,-0.4315948001549373,0.291792307136369,0.013440903442854112,-0.48035196930563606,-1.2482733920597002,-0.0020869557944604546,-0.25835409138393867,-0.18985771136232107,-0.5095733227262577,0.6438102582608746,0.2886161831140664,0.1716182320343506,0.32915650885526976,0.1788111415414602,0.35320263370130334,-0.776200801213183,0.22384745238467574,0,0.014082708243402261,2.404776310220779,0,0,0,1,1,0,0,0,-0.2986873792853116,-0.4885968263552198
3,1.207572640478539,0.336388019924556,-0.9613658314676045,1,0.8164317942368118,0.5831690519562999,-0.574171959203823,0.013440903442854112,1.7824808020850775,-0.547072327863342,-0.8399048456433363,-1.0883953191405582,-1.256568389976321,0.7507454296654026,-0.3151757333667677,0.26579479175481113,0.10175021787827114,-0.5062576668834206,0.3391312554519389,0.282701179877201,0.5763948205523229,-0.394658745305572,0,-0.7561054065115288,2.2583266970394447,0,1,0,0,1,0,0,0,-1.0312862269100236,-0.7934521698438712
4,1.207572640478539,0.2666336296171349,-3.3495133716187184,1,0.5113787479353192,-0.23619739602567918,-0.141189826033727,-0.6348543228105301,0.18821225860525662,-0.547072327863342,-0.8399048456433363,0.26042167596394866,0.6703928359070337,1.3191244748616415,-0.627135031848049,0.7678654016584375,0.614115655022864,0.05887545199863448,0.4460113313922588,0.4707050567414725,0.6891111223661154,0.33838563714212844,0,-0.5076576275583252,2.2047242242410476,0,0,1,0,1,0,0,0,-0.726934892635093,-0.1239941599680101
8,-0.24784241966153436,-0.7099278346867611,0.4623375097763289,0,-0.5171373809563804,0.6401599614940388,1.590738706646657,0.013440903442854112,0.21392626737106016,0.855329800529374,-0.8399048456433363,-1.0883953191405582,-1.256568389976321,0.41301295353430384,-0.08409477152878163,-0.8296319934894668,-0.5270619095264583,-0.014837563507720995,-0.7563895229363397,-0.7748206274843256,-1.3679613857355948,-0.30302819749960946,1,-0.466249664399458,2.085075847458912,0,1,0,0,1,0,0,0,0.38732372138613264,-0.4099769893868661
10,-0.7329807730415588,0.336388019924556,0.6001152524773548,0,1.4835773913557728,0.46234832373644164,-0.574171959203823,-0.310706709683838,-0.5060659780714396,-0.547072327863342,-0.8399048456433363,-1.0883953191405582,-1.050108258631676,-1.045002858056048,0.40117524833098916,0.6765798362214144,0.4976689647627296,0.6240085708806895,0.4460113313922588,0.40020360291737017,0.09735053784370602,0.8194460131234313,0,0.48613348825448904,1.9702134057480614,0,0,1,0,1,0,0,0,-0.5591536489507752,-0.2346663936804098
11,-0.24784241966153436,0.336388019924556,0.09493019590692675,1,-0.829410617702865,-0.983592466820346,-0.574171959203823,2.498572604080827,-0.37749593424242184,-0.547072327863342,-0.8399048456433363,-0.6214971285274598,-0.912468171068579,0.5200988606002621,0.2394185750443989,0.6994012275806696,0.4976689647627296,0.6731505812182583,0.36585127443701826,0.32970214909326995,0.43549944328508317,0.773630739220451,0,-0.6815710728255677,1.9108678108641224,0,0,1,0,0,0,1,0,0.4240585542514571,-0.3757443839056855
12,0.2372959337184901,0.336388019924556,0.6001152524773548,1,1.3644442490130186,0.6450448965969694,-0.141189826033727,-1.9314447753172985,0.18821225860525662,-1.2482733920597002,1.98773053259662,1.8686265547423988,1.7371035145210338,-0.1388913367287106,0.8171209796393641,-0.07652607863402626,-0.17772183874605282,0.08344645716741891,-0.27542918120489884,-0.28131045071561345,0.15370868875060095,-0.2572129235966272,0,-0.35030736755462966,1.8831093874506668,0,1,0,0,1,0,0,0,-0.6966713148697993,-0.27476268886811006
13,-0.7329807730415588,0.336388019924556,-0.5480326033645271,1,-0.39656020052467916,-0.2710432664286824,-1.007154092373919,-1.0670511403127863,-0.37749593424242184,-0.547072327863342,0.521549225361087,-0.20647651464914996,0.3607026388900661,-0.49309856779303324,0.9442155086502565,0.15168783495853266,-0.2010111767980793,-0.3588316358707096,0.07193106560114029,0.2592006952691676,-1.7624684420838668,0.04058635677275063,0,-0.722979035984435,1.8362072237520692,0,0,0,1,0,0,1,0,-0.16128044814833542,-0.271861206873161
14,1.207572640478539,0.336388019924556,-0.9613658314676045,1,0.7380927279084809,0.6043371040700792,-0.141189826033727,-0.6348543228105301,1.7824808020850775,-0.547072327863342,-0.8399048456433363,-0.3621092448535161,-0.7748280835054823,0.5448109930000985,-0.16497310817207675,0.3570803571918343,0.2414862461904321,-0.1131215841828609,0.20553116052653958,0.30620166448523445,0.6327529714592204,0.49873909580256337,0,-0.6153183317713802,2.2583266970394447,0,1,0,0,1,0,0,0,-1.037040244568626,-0.8812154425933995
