,0
host_number_of_years,2.862268278392471
host_verifications,2.0612676631993017
host_response_rate,14.336015204101216
host_acceptance_rate,21.774199091865828
latitude,0.02770010036760925
longitude,0.030706651537863543
accommodates,2.3095641214533726
amenities,9.255042698177942
minimum_nights,38.889307735240244
beds,1.4261244756467868
availability_30,0.31828714795618357
availability_60,0.3212691824807253
availability_90,0.32290334328703685
availability_365,0.33259687789007514
number_of_reviews,86.54975226398038
review_scores_rating,0.4381853780332397
review_scores_accuracy,0.4293810316832794
review_scores_cleanliness,0.4069837571278531
review_scores_checkin,0.3742512310932056
review_scores_communication,0.42552313991777785
review_scores_location,0.3548732468714254
review_scores_value,0.4365356418549881
closeness_to_subway,1.281250636710734
closeness_to_landmark,2.030611919739541
price,120.74972103353218
